Age,Mobile_Recharge_Level,Bill_Paid_On_Time,Freelance_Rating,Location_Changes_Per_Month,Monthly_Income_k,Creditworthy
56,Medium,Yes,4.5,1,38.68,Yes
28,High,Yes,3.9,0,19.75,Yes
29,Medium,Yes,4.2,1,20.72,Yes
33,Low,Yes,3.3,4,39.87,No
35,High,No,3.8,0,34.47,Yes
37,Low,Yes,4.9,0,28.73,Yes
120,Low,Yes,4.3,1,5.4,Yes
35,Medium,No,4.3,1,33.82,Yes
40,Medium,No,4.5,3,31.59,No
58,Low,Yes,4.2,1,22.25,Yes
0,Low,No,4.5,4,38.04,No
50,Low,Yes,4.9,3,16.02,No
31,High,No,3.7,0,16.56,No
32,Medium,Yes,3.3,2,35.42,Yes
32,Medium,Yes,4.1,0,20.73,Yes
19,Medium,Yes,4.1,0,15.45,Yes
37,High,Yes,3.8,1,21.72,Yes
30,High,Yes,2.6,0,28.46,Yes
59,Medium,No,4.3,4,5,No
19,Medium,Yes,4.2,0,28.45,Yes
49,High,Yes,4.2,2,13.31,Yes
28,Medium,Yes,4.1,4,39.01,Yes
23,Medium,No,3.5,2,18.18,No
24,Low,Yes,4.6,0,23.39,Yes
45,Medium,Yes,5,1,28.96,Yes
19,High,No,4.8,0,26.52,Yes
58,Medium,No,4.6,0,37.17,Yes
25,Medium,Yes,3.1,3,36.69,No
19,Medium,Yes,4.6,1,15.46,Yes
37,Medium,No,3.6,2,36.05,No
39,Low,No,4.7,3,22.6,No
50,Low,No,3.6,4,29.82,No
41,Medium,Yes,4.4,0,25.51,Yes
38,Low,Yes,2.8,3,22.32,No
49,Medium,Yes,3.7,2,14.73,No
56,Low,No,4.4,3,27.57,No
18,Low,Yes,4.2,2,20.91,Yes
39,Medium,Yes,3.7,2,21.65,Yes
22,Medium,No,4,1,12.09,No
33,High,Yes,4.8,1,18.71,Yes
43,Low,No,4.5,1,33.66,No
120,Medium,Yes,4.3,2,30.78,Yes
46,Medium,Yes,5,0,17.92,Yes
31,Low,Yes,4.6,1,31,Yes
54,Medium,Yes,3.9,2,26.31,Yes
18,Medium,Yes,4.5,5,26.48,Yes
50,Medium,Yes,4.1,2,30.88,Yes
30,Low,Yes,4.3,1,20.7,No
46,High,Yes,3.8,0,33.5,Yes
117,High,No,3.8,0,33.77,Yes
26,Medium,Yes,3.8,1,28.83,Yes
40,High,No,5,1,20.6,Yes
34,Medium,Yes,3.3,0,16.57,No
53,Low,No,4,4,18.87,No
52,Medium,Yes,4,3,27.49,No
52,High,Yes,4.6,0,38.58,Yes
24,Medium,No,4.7,0,22.66,Yes
46,Low,No,3.3,4,10.93,No
48,Medium,Yes,3.6,1,33.32,Yes
30,Medium,Yes,4.7,3,32.68,Yes
42,High,Yes,4.2,1,34.84,Yes
52,Medium,Yes,3.9,2,19.44,No
20,High,Yes,4.1,1,34.76,Yes
45,Medium,Yes,3.7,1,16.25,Yes
44,Medium,Yes,4.8,1,19.23,Yes
52,High,No,4.6,3,39.77,Yes
50,Medium,Yes,3.8,2,39.36,Yes
58,Medium,Yes,4.2,3,25.47,Yes
31,Low,Yes,3.7,2,18.29,No
48,Low,Yes,5,3,26.16,Yes
47,Medium,Yes,2.6,5,18.45,No
51,Medium,Yes,4.4,3,20.46,Yes
59,High,No,3.2,2,24.44,No
30,Low,Yes,4.5,2,5,Yes
33,Medium,Yes,4.6,2,22.09,Yes
36,High,Yes,4.1,2,24.23,Yes
51,Low,Yes,3.8,2,22.26,No
34,Low,No,3.8,0,30.8,No
120,Low,No,5,0,27.52,Yes
24,Medium,No,4,1,34.02,No
54,Low,Yes,3.3,1,27.07,Yes
27,Medium,Yes,4.2,2,16.39,Yes
8,Medium,Yes,4.3,1,33.4,Yes
23,Medium,Yes,3.8,0,20.13,Yes
47,Low,No,4.2,2,16.69,No
19,Medium,No,5,3,24.25,No
22,Low,Yes,4.4,1,5,Yes
43,Medium,Yes,4.7,1,25.11,Yes
23,Medium,Yes,4.8,1,19.23,No
34,Low,Yes,5,0,29.65,No
120,High,No,4.4,1,18.96,Yes
52,High,No,4.5,2,31.96,Yes
36,Medium,Yes,4.7,2,21.74,No
31,High,Yes,2.8,1,40.11,Yes
120,Medium,No,3.7,2,27.87,No
32,High,Yes,4.5,4,40.83,Yes
21,Medium,No,4,1,33.29,No
53,Medium,Yes,5,1,26.82,Yes
19,Low,Yes,5,3,30.17,Yes
23,Medium,Yes,4.3,1,51.44,Yes
29,Low,No,4.9,1,31.72,Yes
120,Low,No,3.8,0,20.05,No
40,High,No,5,1,30.24,Yes
26,Low,No,3.7,3,27.46,No
120,Medium,Yes,4,0,9.97,No
41,Medium,Yes,3.8,0,34.06,Yes
38,Medium,No,5,2,8.71,No
24,Medium,Yes,3.7,1,31.74,Yes
120,Medium,Yes,4.4,1,36.67,Yes
19,Medium,Yes,5,0,24.82,Yes
25,High,No,3.4,2,17.22,Yes
45,High,No,4.9,1,5,Yes
25,Low,No,4.5,1,14.47,No
49,High,Yes,3.2,0,15.99,Yes
27,Low,Yes,3.2,3,42.65,No
19,Medium,Yes,3.9,3,35.16,No
39,Medium,Yes,4.4,1,25.39,Yes
34,Low,Yes,3.4,0,32.43,Yes
21,Low,No,4.9,3,36.51,No
120,Medium,Yes,3.9,0,30.27,Yes
38,Low,Yes,3.7,2,33.44,Yes
34,Medium,Yes,3.8,0,25.26,Yes
18,Low,Yes,3.8,1,10.93,No
56,Medium,No,4.5,0,23.82,Yes
50,Low,Yes,4.4,2,22.19,Yes
26,Medium,Yes,4.3,2,21.65,Yes
56,Low,Yes,4.8,4,19.06,No
33,High,No,4.5,2,35.81,Yes
42,Medium,Yes,4.3,0,21.18,Yes
33,High,Yes,4.7,0,26.34,Yes
24,Low,No,4.9,3,24.2,No
48,Medium,Yes,4.8,2,24.5,Yes
56,Medium,Yes,3.8,3,35.44,No
120,High,Yes,4.2,4,35.65,No
46,Low,Yes,3.2,1,30.68,Yes
56,Medium,No,4.2,2,23.65,Yes
54,Low,Yes,4.2,2,27.34,Yes
54,Medium,Yes,4.8,3,22.86,Yes
21,Low,No,4.9,1,41.21,Yes
51,Medium,Yes,4.5,0,36.94,Yes
26,High,No,4,2,13.26,No
49,Medium,Yes,2.9,1,16.22,No
120,High,No,4.5,1,35.84,No
41,Low,Yes,4.1,2,26.02,Yes
45,Low,No,2.1,2,16.3,No
51,Medium,No,4.3,1,42.31,Yes
58,Medium,Yes,3.6,4,30.94,No
49,Medium,No,4.4,2,21.07,No
49,Low,Yes,3.6,1,26.54,Yes
52,Low,Yes,4.2,2,21.7,Yes
54,Low,No,3.9,1,26.94,No
39,Medium,Yes,3.8,2,44.11,Yes
46,Low,Yes,5,2,24.34,No
46,High,Yes,4.3,2,36.66,No
31,Low,Yes,3.1,2,19.33,Yes
52,Low,Yes,4.8,2,21.57,Yes
34,Low,Yes,5,0,5,Yes
46,Low,Yes,4.3,2,32.09,Yes
34,Medium,Yes,3.3,0,28.16,Yes
39,Medium,Yes,3.8,1,34.96,Yes
35,Medium,Yes,4.9,4,32.42,Yes
29,High,Yes,5,2,24.77,Yes
50,Medium,Yes,4,0,24.14,Yes
39,Medium,No,4.6,1,15.21,No
57,Medium,No,4.2,4,18.53,No
24,Medium,Yes,10,1,29.64,Yes
59,Medium,No,5,2,35.75,Yes
53,Medium,No,3.9,0,24.18,No
23,Medium,Yes,3.5,1,30.64,Yes
32,Low,Yes,4.4,2,31.47,Yes
37,Medium,Yes,5,0,29.12,No
51,Medium,No,4.1,1,33.84,Yes
29,Medium,Yes,3.9,2,31.23,Yes
59,Low,No,4.4,1,22.09,Yes
31,Medium,Yes,3.5,2,28.19,Yes
54,Low,Yes,3.2,1,40.46,Yes
27,Low,Yes,2.9,2,27.54,Yes
29,Medium,Yes,4.7,3,37.23,Yes
32,Medium,Yes,4,0,20.49,Yes
18,Low,Yes,4.1,1,29.48,Yes
59,Medium,Yes,3.3,1,30.03,Yes
55,Low,Yes,4.9,0,14.6,Yes
25,High,Yes,3.8,1,44.14,Yes
51,Medium,No,4.1,1,24.73,Yes
57,Medium,Yes,4.6,3,26.41,Yes
19,High,Yes,4.2,5,28.29,Yes
21,Medium,No,4.6,2,31.35,Yes
24,Low,Yes,3.4,2,8.56,No
49,Medium,Yes,4.3,2,18,Yes
20,Medium,No,4.3,1,13.19,No
40,High,No,4.7,2,27.81,Yes
38,Medium,Yes,4.4,3,13.9,Yes
25,Medium,Yes,3.6,1,34.41,Yes
28,Low,No,3.9,2,30.14,No
53,Medium,Yes,3.9,1,36.52,Yes
30,Medium,No,4,0,29.01,No
27,Low,Yes,4.3,1,27.65,Yes
21,Low,No,5,0,16.72,No
53,Low,Yes,3.9,2,19.14,No
39,Low,Yes,4.8,1,47.11,Yes
42,High,Yes,3.7,2,41.39,Yes
56,Medium,No,3.2,18,35.46,No
54,High,Yes,3.5,1,17.89,Yes
19,Medium,Yes,3.4,2,33.24,Yes
20,Low,Yes,3.3,2,11.7,No
39,Medium,No,4.5,0,15.79,No
33,Medium,Yes,2.8,0,20.01,Yes
57,Low,No,3.7,1,32.89,No
39,Low,No,4.3,2,23.48,Yes
50,Low,Yes,3.3,1,13.09,No
20,Medium,Yes,4.4,4,49.93,Yes
59,Medium,Yes,4.4,1,45.02,Yes
24,Medium,Yes,3.5,3,21.47,No
42,Medium,Yes,4.7,0,9.02,Yes
33,Medium,Yes,2.7,0,25.64,Yes
51,Low,Yes,4.5,1,25.54,Yes
31,High,Yes,4.2,1,22.69,Yes
22,Medium,Yes,4.3,2,21.63,Yes
26,Medium,Yes,4.5,2,15.78,Yes
54,Medium,Yes,4.5,1,47.89,Yes
